datum,text
16.3.2020,"Dnes jsme vydali [Doporučení pro firmy pracující v openspacech](https://www.linkedin.com/pulse/doporu%C4%8Den%C3%AD-pro-modern%C3%AD-firmy-pracuj%C3%ADc%C3%AD-v-openspacech-sou%C4%8Dasn%C3%A9-rada/?published=t) jak na současnou krizovou situaci."
15.3.2020,"Za chvíli vláda ČR vyhlásí karanténu a omezení volného pohybu osob. Již dříve vláda požadala zaměstnavatele o zavedení práce z domova. To nepřináší jen trable, ale i příležitosti. Tak třeba, je čas na věci na které čas jinak není. Jako třeba vzdělávání. Mrkněte se po internetu a najdete spoustu příležitostí jak tenhle čas využít pro svůj rozvoj."
